step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
665.0,58,7170.0,89.625,2.372729861493046,58,15385.0,0.08199093667797204,58,15385.0
670.0,65,7477.0,93.4625,1.5892278120939267,65,15694.0,0.07637432421514406,65,15694.0
675.0,70,7824.0,96.5925925925926,1.6729119614566004,70,16041.0,0.07214878779227235,70,16041.0
680.0,70,8174.0,99.6829268292683,1.6210653485354427,70,16391.0,0.08300168572207939,70,16391.0
685.0,67,8178.0,99.73170731707317,1.1501461032005338,67,16600.0,0.0798142200276895,67,16600.0
690.0,62,8326.0,101.53658536585365,2.0235337314997834,62,16713.0,0.09672556368752065,62,16713.0
695.0,63,8638.0,100.44186046511628,2.6836865867280966,63,16865.0,0.07903741483085597,63,16865.0
700.0,62,8901.0,105.96428571428571,1.856415068457961,62,17160.0,0.04987321754173216,62,17160.0
705.0,62,9203.0,108.27058823529411,2.686522328585542,62,17439.0,0.09849527855573759,62,17439.0
710.0,64,9516.0,116.04878048780488,2.727395797946257,64,17743.0,0.0822586766316941,64,17743.0
715.0,64,9836.0,119.95121951219512,2.7640760279556122,64,18063.0,0.07643419058657448,64,18063.0
720.0,58,10049.0,135.7972972972973,1.537725437990033,58,18323.0,0.05997434563605541,58,18323.0
725.0,59,10341.0,127.66666666666667,2.8429356065660265,59,18558.0,0.11703930632611553,59,18558.0
730.0,64,10652.0,136.56410256410257,2.3886218818124654,64,18869.0,0.06618661055389774,64,18869.0
735.0,60,10932.0,136.65,2.29567310225479,60,19163.0,0.08832375324611239,60,19163.0
740.0,60,11232.0,147.78947368421052,2.5081661270552438,60,19449.0,0.08481343885047901,60,19449.0
745.0,61,11533.0,144.1625,2.9933140390796855,61,19750.0,0.0944671382382366,61,19750.0
750.0,62,11843.0,155.82894736842104,2.4686964222625094,62,20060.0,0.08578754728700114,62,20060.0
755.0,61,12133.0,161.77333333333334,1.8243105018888761,61,20350.0,0.07604250646473533,61,20350.0
760.0,63,12445.0,168.17567567567568,1.9153793478337728,63,20662.0,0.07831790127533252,63,20662.0
765.0,64,12761.0,165.72727272727272,1.6932680104838929,64,20978.0,0.08014530798980954,64,20978.0
770.0,61,13034.0,171.5,1.4366788526799565,61,21275.0,0.08596469593552808,61,21275.0
775.0,62,13342.0,168.8860759493671,2.3203596946925584,62,21561.0,0.10835618452500251,62,21561.0
780.0,62,13652.0,172.81012658227849,2.447713771891799,62,21869.0,0.05366449286394584,62,21869.0
785.0,58,13130.0,164.125,2.2302862277466162,58,21087.0,0.09171482976599893,58,21087.0
790.0,52,12053.0,158.5921052631579,2.7537818878000713,52,18225.0,0.10347282846726673,52,18225.0
795.0,46,11228.0,136.9268292682927,4.288632211995954,46,16560.0,0.18707686682616906,46,16560.0
800.0,34,10066.0,134.21333333333334,3.505275565896806,34,15856.0,0.17215408947252936,34,15856.0
805.0,38,9712.0,126.12987012987013,3.746305805523297,38,16001.0,0.19708859164319031,38,16001.0
810.0,44,9920.0,127.17948717948718,3.7136266734941934,44,16204.0,0.144279060465634,44,16204.0
815.0,50,10164.0,123.95121951219512,2.9269523330980456,50,16448.0,0.11863206787040009,50,16448.0
820.0,62,10451.0,127.45121951219512,2.267142619249605,62,16737.0,0.10101822753521617,62,16737.0
825.0,66,10771.0,125.24418604651163,1.8972200557905667,66,17057.0,0.0742302963758435,66,17057.0
830.0,74,11123.0,132.41666666666666,1.5692035385763066,74,17409.0,0.06691703616295955,74,17409.0
835.0,74,11493.0,135.21176470588236,1.6267397349569535,74,17779.0,0.0753205807386761,74,17779.0
840.0,70,11511.0,137.03571428571428,1.1117970953301601,70,18006.0,0.052875586705011766,70,18006.0
845.0,64,11683.0,132.76136363636363,2.5710599887932233,64,18129.0,0.11669726707479337,64,18129.0
850.0,68,12010.0,136.47727272727272,2.7189314510694853,68,18305.0,0.08255634768570941,68,18305.0
855.0,64,12297.0,139.73863636363637,2.1963209165149524,64,18613.0,0.07730260960593771,64,18613.0
860.0,66,12626.0,148.54117647058823,2.49816092079534,66,18921.0,0.09655566321169556,66,18921.0
865.0,66,12956.0,152.42352941176472,2.6351500976710125,66,19251.0,0.10248649083043515,66,19251.0
870.0,68,13295.0,154.59302325581396,2.442384762100212,68,19590.0,0.07791802544164533,68,19590.0
875.0,64,13542.0,169.275,1.5834922207074782,64,19880.0,0.06140384396804803,64,19880.0
880.0,65,13863.0,169.0609756097561,2.089767563008629,65,20149.0,0.08413693449017473,65,20149.0
885.0,68,14200.0,173.17073170731706,2.153748766797873,68,20486.0,0.06993996279903363,68,20486.0
890.0,64,14502.0,172.64285714285714,1.9670224886578782,64,20801.0,0.08387233903625547,64,20801.0
895.0,65,14827.0,185.3375,2.0146267953582786,65,21113.0,0.07490972789561345,65,21113.0
900.0,65,15152.0,182.55421686746988,2.499451661099589,65,21438.0,0.0695690744401009,65,21438.0
905.0,67,15485.0,191.17283950617283,2.2310064922600894,67,21771.0,0.0751709556039959,67,21771.0
910.0,67,15820.0,202.82051282051282,1.6312327411286816,67,22106.0,0.06378369802317636,67,22106.0
915.0,64,16102.0,203.8227848101266,1.8914017916867214,64,22403.0,0.08490046569116826,64,22403.0
920.0,65,16423.0,202.7530864197531,2.0040701924697752,65,22709.0,0.07628922564527976,65,22709.0
925.0,68,16761.0,206.92592592592592,2.1651455049886383,68,23047.0,0.08879803908465954,68,23047.0
930.0,64,17062.0,210.64197530864197,1.7378362414114268,64,23364.0,0.08522553603512907,64,23364.0
935.0,64,17382.0,220.0253164556962,1.9797320637100857,64,23668.0,0.07440062379065833,64,23668.0
940.0,66,17706.0,205.88372093023256,2.796239899083533,66,23992.0,0.09562127604151284,66,23992.0
945.0,68,18041.0,220.0121951219512,2.1579436669978853,68,24327.0,0.07487745663991231,68,24327.0
950.0,63,17496.0,213.3658536585366,1.7727016302782341,63,23480.0,0.1047264370395074,63,23480.0
955.0,58,16358.0,204.475,2.211371177508313,58,21566.0,0.10370320663019197,58,21566.0
960.0,50,15488.0,184.38095238095238,3.086633739701429,50,19754.0,0.12111278353377446,50,19754.0
965.0,44,14549.0,179.6172839506173,3.1135823499104007,44,18996.0,0.1473676305861688,44,18996.0
970.0,42,13916.0,171.80246913580248,2.9871438989925143,42,19177.0,0.14077284509626076,42,19177.0
975.0,48,14146.0,172.5121951219512,3.4588479673376824,48,19402.0,0.13862606983323014,48,19402.0
980.0,54,14406.0,167.51162790697674,3.1446330967535636,54,19662.0,0.12790565462042483,54,19662.0
985.0,62,14701.0,172.95294117647057,1.8419232040412596,62,19957.0,0.08160810764577071,62,19957.0
990.0,68,15035.0,167.05555555555554,2.0441606974266877,68,20291.0,0.08962302419822177,68,20291.0
995.0,77,15404.0,179.11627906976744,1.2669661278299094,77,20660.0,0.04749109772365355,77,20660.0
1000.0,78,15794.0,173.56043956043956,1.8152140864712218,78,21050.0,0.08391481498951274,78,21050.0
1005.0,78,16184.0,183.9090909090909,1.215874733998585,78,21440.0,0.04767802361458573,78,21440.0
1010.0,74,16218.0,174.38709677419354,1.9342660457120244,74,21687.0,0.10770376450140194,74,21687.0
1015.0,70,16387.0,178.1195652173913,2.00635768427127,70,21822.0,0.08941695132880371,70,21822.0
1020.0,72,16747.0,178.1595744680851,2.4028789655389264,72,22006.0,0.0672979555010085,72,22006.0
1025.0,73,17069.0,179.67368421052632,2.1627314387645784,73,22340.0,0.07404393823465202,73,22340.0
1030.0,72,17424.0,191.47252747252747,2.2435560757932724,72,22664.0,0.08344187315177928,72,22664.0
1035.0,74,17788.0,193.34782608695653,2.434108863365413,74,23017.0,0.06704595087060047,74,23017.0
1040.0,74,18158.0,201.75555555555556,2.288027103251264,74,23377.0,0.0822066887700412,74,23377.0
1045.0,68,18420.0,206.96629213483146,1.7259785563224015,68,23674.0,0.07948544640607515,68,23674.0
